N,mean_time_s,std_time_s,mean_mem_MB,std_mem_MB
10,0.003380095400098071,0.0006123950533665635,0.0099365234375,0.0019480938484490369
100,0.177733155200076,0.00851952146025831,0.1171987533569336,0.00993447420485963
120,0.22815910679964874,0.006780116384599427,0.14620685577392578,0.010568779569117615
230,0.5737566178004272,0.012582405615653469,0.28953857421875,0.021625279983598814
340,1.2051689500001885,0.0956387025828374,0.427972412109375,0.018976148110047004
450,1.6729924049997862,0.09373281867521924,0.5737106323242187,0.01254275198977561
560,2.69816095679962,0.5135351294408818,0.71195068359375,0.01877947715478339
670,3.7328982069999257,0.4253601688752216,0.8576950073242188,0.0202191711599147
780,4.371797498999877,0.5050429563675491,0.9978546142578125,0.017815528536878178
890,5.145627456999864,0.4555531688155006,1.1440872192382812,0.0224268076057471
1000,5.429391578799914,0.8789968424346629,1.284735107421875,0.03868711314629984
