N,mean_time_s,std_time_s,mean_mem_MB,std_mem_MB
10,0.003955945200141286,0.0005047046640400751,0.00611114501953125,0.0054719541946512806
100,0.15615627399993173,0.023796640738335168,0.03047008514404297,0.006890884473361669
120,0.16860066520021064,0.0077244644357535265,0.02790069580078125,0.002290199677564283
230,0.40770029200011776,0.014846905448834389,0.03176727294921875,0.0028765569499571977
340,0.8254964326000845,0.019819613906720466,0.10431671142578125,0.00026516948237583567
450,0.9803080847999809,0.015946576314177754,0.11009063720703124,0.00133012536815032
560,1.199582775199906,0.018048993710860228,0.11517601013183594,0.00033669863081223027
670,1.4151360959999693,0.010582818508452638,0.12000274658203125,8.897326499702913e-05
780,1.8302707227999235,0.14956672049354836,0.12575836181640626,0.0001665935554682151
890,2.20513861319987,0.17165145870388399,0.13078155517578124,0.00012656519380693188
1000,2.528686557600031,0.17078291826951228,0.4414979934692383,0.005015987141782699
